"# Channel 1"
"# Trace 4"
Frequency, Formatted Data, Formatted Data
+9.00000000000E+003, -9.84279031382E+000, +0.00000000000E+000
+9.06161890229E+003, -9.84268232646E+000, +0.00000000000E+000
+9.12323780458E+003, -9.84259007432E+000, +0.00000000000E+000
+9.18485670688E+003, -9.84299729291E+000, +0.00000000000E+000
+9.24647560917E+003, -9.84282889642E+000, +0.00000000000E+000
+9.30809451146E+003, -9.84252535407E+000, +0.00000000000E+000
+9.36971341375E+003, -9.84298434161E+000, +0.00000000000E+000
+9.43133231604E+003, -9.84278948867E+000, +0.00000000000E+000
+9.49295121833E+003, -9.84284056130E+000, +0.00000000000E+000
+9.55457012063E+003, -9.84245178801E+000, +0.00000000000E+000
+9.61618902292E+003, -9.84286050005E+000, +0.00000000000E+000
+9.67780792521E+003, -9.84244390227E+000, +0.00000000000E+000
+9.73942682750E+003, -9.84280807041E+000, +0.00000000000E+000
+9.80104572979E+003, -9.84207001926E+000, +0.00000000000E+000
+9.86266463209E+003, -9.84233451778E+000, +0.00000000000E+000
+9.92428353438E+003, -9.84268302692E+000, +0.00000000000E+000
+9.98590243667E+003, -9.84281457419E+000, +0.00000000000E+000
+1.00475213390E+004, -9.84290025922E+000, +0.00000000000E+000
+1.01091402413E+004, -9.84275774486E+000, +0.00000000000E+000
+1.01707591435E+004, -9.84317254487E+000, +0.00000000000E+000
+1.02323780458E+004, -9.84270205791E+000, +0.00000000000E+000
+1.02939969481E+004, -9.84280835150E+000, +0.00000000000E+000
+1.03556158504E+004, -9.84265294195E+000, +0.00000000000E+000
+1.04172347527E+004, -9.84257301437E+000, +0.00000000000E+000
+1.04788536550E+004, -9.84323791165E+000, +0.00000000000E+000
+1.05404725573E+004, -9.84278529944E+000, +0.00000000000E+000
+1.06020914596E+004, -9.84273703515E+000, +0.00000000000E+000
+1.06637103619E+004, -9.84302933547E+000, +0.00000000000E+000
+1.07253292642E+004, -9.84239282667E+000, +0.00000000000E+000
+1.07869481665E+004, -9.84289435800E+000, +0.00000000000E+000
+1.08485670688E+004, -9.84284549627E+000, +0.00000000000E+000
+1.09101859710E+004, -9.84260429663E+000, +0.00000000000E+000
+1.09718048733E+004, -9.84234577827E+000, +0.00000000000E+000
+1.10334237756E+004, -9.84294486342E+000, +0.00000000000E+000
+1.10950426779E+004, -9.84242245163E+000, +0.00000000000E+000
+1.11566615802E+004, -9.84269964467E+000, +0.00000000000E+000
+1.12182804825E+004, -9.84242570472E+000, +0.00000000000E+000
+1.12798993848E+004, -9.84332701663E+000, +0.00000000000E+000
+1.13415182871E+004, -9.84291847414E+000, +0.00000000000E+000
+1.14031371894E+004, -9.84284705615E+000, +0.00000000000E+000
+1.14647560917E+004, -9.84272139211E+000, +0.00000000000E+000
+1.15263749940E+004, -9.84306032955E+000, +0.00000000000E+000
+1.15879938963E+004, -9.84277709835E+000, +0.00000000000E+000
+1.16496127986E+004, -9.84306287713E+000, +0.00000000000E+000
+1.17112317008E+004, -9.84243508730E+000, +0.00000000000E+000
+1.17728506031E+004, -9.84371862156E+000, +0.00000000000E+000
+1.18344695054E+004, -9.84305416563E+000, +0.00000000000E+000
+1.18960884077E+004, -9.84309193147E+000, +0.00000000000E+000
+1.19577073100E+004, -9.84299180332E+000, +0.00000000000E+000
+1.20193262123E+004, -9.84268463667E+000, +0.00000000000E+000
+1.20809451146E+004, -9.84305370737E+000, +0.00000000000E+000
+1.21425640169E+004, -9.84278507008E+000, +0.00000000000E+000
+1.22041829192E+004, -9.84290565796E+000, +0.00000000000E+000
+1.22658018215E+004, -9.84251989694E+000, +0.00000000000E+000
+1.23274207238E+004, -9.84256465885E+000, +0.00000000000E+000
+1.23994493272E+004, -9.84296656648E+000, +0.00000000000E+000
+1.24843427112E+004, -9.84314634109E+000, +0.00000000000E+000
+1.25692360953E+004, -9.84342355641E+000, +0.00000000000E+000
+1.26541294794E+004, -9.84283308865E+000, +0.00000000000E+000
+1.27390228634E+004, -9.84274126913E+000, +0.00000000000E+000
+1.28239162475E+004, -9.84281546528E+000, +0.00000000000E+000
+1.29088096316E+004, -9.84320424343E+000, +0.00000000000E+000
+1.29937030156E+004, -9.84340889641E+000, +0.00000000000E+000
+1.30785963997E+004, -9.84342602030E+000, +0.00000000000E+000
+1.31634897837E+004, -9.84341949076E+000, +0.00000000000E+000
+1.32483831678E+004, -9.84330940017E+000, +0.00000000000E+000
+1.33332765519E+004, -9.84321990085E+000, +0.00000000000E+000
+1.34181699359E+004, -9.84333923137E+000, +0.00000000000E+000
+1.35030633200E+004, -9.84335443797E+000, +0.00000000000E+000
+1.35879567041E+004, -9.84367416428E+000, +0.00000000000E+000
+1.36728500881E+004, -9.84324898268E+000, +0.00000000000E+000
+1.37577434722E+004, -9.84332735090E+000, +0.00000000000E+000
+1.38426368563E+004, -9.84377750561E+000, +0.00000000000E+000
+1.39275302403E+004, -9.84332594033E+000, +0.00000000000E+000
+1.40124236244E+004, -9.84341090697E+000, +0.00000000000E+000
+1.40973170084E+004, -9.84373977955E+000, +0.00000000000E+000
+1.41822103925E+004, -9.84318587802E+000, +0.00000000000E+000
+1.42671037766E+004, -9.84352060990E+000, +0.00000000000E+000
+1.43519971606E+004, -9.84348064355E+000, +0.00000000000E+000
+1.44368905447E+004, -9.84337830773E+000, +0.00000000000E+000
+1.45217839288E+004, -9.84342354204E+000, +0.00000000000E+000
+1.46066773128E+004, -9.84334002074E+000, +0.00000000000E+000
+1.46915706969E+004, -9.84340762908E+000, +0.00000000000E+000
+1.47764640809E+004, -9.84307083213E+000, +0.00000000000E+000
+1.48613574650E+004, -9.84347819695E+000, +0.00000000000E+000
+1.49462508491E+004, -9.84397388433E+000, +0.00000000000E+000
+1.50311442331E+004, -9.84344312037E+000, +0.00000000000E+000
+1.51160376172E+004, -9.84329116905E+000, +0.00000000000E+000
+1.52009310013E+004, -9.84364180910E+000, +0.00000000000E+000
+1.52858243853E+004, -9.84331345672E+000, +0.00000000000E+000
+1.53707177694E+004, -9.84325844429E+000, +0.00000000000E+000
+1.54556111534E+004, -9.84376322460E+000, +0.00000000000E+000
+1.55405045375E+004, -9.84421718572E+000, +0.00000000000E+000
+1.56253979216E+004, -9.84328310492E+000, +0.00000000000E+000
+1.57102913056E+004, -9.84346064662E+000, +0.00000000000E+000
+1.57951846897E+004, -9.84418095221E+000, +0.00000000000E+000
+1.58800780738E+004, -9.84382290437E+000, +0.00000000000E+000
+1.59649714578E+004, -9.84327652803E+000, +0.00000000000E+000
+1.60498648419E+004, -9.84357494313E+000, +0.00000000000E+000
+1.61347582259E+004, -9.84375197060E+000, +0.00000000000E+000
+1.62196516100E+004, -9.84357475021E+000, +0.00000000000E+000
+1.63045449941E+004, -9.84365399315E+000, +0.00000000000E+000
+1.63894383781E+004, -9.84359884610E+000, +0.00000000000E+000
+1.64743317622E+004, -9.84371284833E+000, +0.00000000000E+000
