"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+9.00000000000E+003, -1.95278822898E+001, +0.00000000000E+000
+9.06161890229E+003, -1.95265663689E+001, +0.00000000000E+000
+9.12323780458E+003, -1.95268233623E+001, +0.00000000000E+000
+9.18485670688E+003, -1.95262591428E+001, +0.00000000000E+000
+9.24647560917E+003, -1.95274852033E+001, +0.00000000000E+000
+9.30809451146E+003, -1.95289048696E+001, +0.00000000000E+000
+9.36971341375E+003, -1.95285298388E+001, +0.00000000000E+000
+9.43133231604E+003, -1.95278692345E+001, +0.00000000000E+000
+9.49295121833E+003, -1.95295186902E+001, +0.00000000000E+000
+9.55457012063E+003, -1.95305163695E+001, +0.00000000000E+000
+9.61618902292E+003, -1.95293062146E+001, +0.00000000000E+000
+9.67780792521E+003, -1.95294035264E+001, +0.00000000000E+000
+9.73942682750E+003, -1.95283499370E+001, +0.00000000000E+000
+9.80104572979E+003, -1.95293442478E+001, +0.00000000000E+000
+9.86266463209E+003, -1.95282370937E+001, +0.00000000000E+000
+9.92428353438E+003, -1.95283218794E+001, +0.00000000000E+000
+9.98590243667E+003, -1.95287228064E+001, +0.00000000000E+000
+1.00475213390E+004, -1.95301235508E+001, +0.00000000000E+000
+1.01091402413E+004, -1.95289963718E+001, +0.00000000000E+000
+1.01707591435E+004, -1.95303855324E+001, +0.00000000000E+000
+1.02323780458E+004, -1.95290112976E+001, +0.00000000000E+000
+1.02939969481E+004, -1.95268241005E+001, +0.00000000000E+000
+1.03556158504E+004, -1.95270659634E+001, +0.00000000000E+000
+1.04172347527E+004, -1.95258785648E+001, +0.00000000000E+000
+1.04788536550E+004, -1.95262553856E+001, +0.00000000000E+000
+1.05404725573E+004, -1.95270451499E+001, +0.00000000000E+000
+1.06020914596E+004, -1.95244311650E+001, +0.00000000000E+000
+1.06637103619E+004, -1.95251405660E+001, +0.00000000000E+000
+1.07253292642E+004, -1.95247659002E+001, +0.00000000000E+000
+1.07869481665E+004, -1.95245412881E+001, +0.00000000000E+000
+1.08485670688E+004, -1.95238079865E+001, +0.00000000000E+000
+1.09101859710E+004, -1.95234022255E+001, +0.00000000000E+000
+1.09718048733E+004, -1.95246564135E+001, +0.00000000000E+000
+1.10334237756E+004, -1.95247210335E+001, +0.00000000000E+000
+1.10950426779E+004, -1.95233206605E+001, +0.00000000000E+000
+1.11566615802E+004, -1.95235525929E+001, +0.00000000000E+000
+1.12182804825E+004, -1.95216336825E+001, +0.00000000000E+000
+1.12798993848E+004, -1.95216556384E+001, +0.00000000000E+000
+1.13415182871E+004, -1.95224966517E+001, +0.00000000000E+000
+1.14031371894E+004, -1.95228786160E+001, +0.00000000000E+000
+1.14647560917E+004, -1.95209685832E+001, +0.00000000000E+000
+1.15263749940E+004, -1.95195377845E+001, +0.00000000000E+000
+1.15879938963E+004, -1.95209841939E+001, +0.00000000000E+000
+1.16496127986E+004, -1.95207262836E+001, +0.00000000000E+000
+1.17112317008E+004, -1.95200566111E+001, +0.00000000000E+000
+1.17728506031E+004, -1.95191327043E+001, +0.00000000000E+000
+1.18344695054E+004, -1.95189277446E+001, +0.00000000000E+000
+1.18960884077E+004, -1.95183111071E+001, +0.00000000000E+000
+1.19577073100E+004, -1.95195890435E+001, +0.00000000000E+000
+1.20193262123E+004, -1.95186880441E+001, +0.00000000000E+000
+1.20809451146E+004, -1.95185183649E+001, +0.00000000000E+000
+1.21425640169E+004, -1.95169884879E+001, +0.00000000000E+000
+1.22041829192E+004, -1.95185533052E+001, +0.00000000000E+000
+1.22658018215E+004, -1.95191224105E+001, +0.00000000000E+000
+1.23274207238E+004, -1.95183224367E+001, +0.00000000000E+000
+1.23994493272E+004, -1.95175824257E+001, +0.00000000000E+000
+1.24843427112E+004, -1.95165239745E+001, +0.00000000000E+000
+1.25692360953E+004, -1.95147506604E+001, +0.00000000000E+000
+1.26541294794E+004, -1.95148105496E+001, +0.00000000000E+000
+1.27390228634E+004, -1.95160034790E+001, +0.00000000000E+000
+1.28239162475E+004, -1.95157041785E+001, +0.00000000000E+000
+1.29088096316E+004, -1.95170961742E+001, +0.00000000000E+000
+1.29937030156E+004, -1.95139402841E+001, +0.00000000000E+000
+1.30785963997E+004, -1.95155718884E+001, +0.00000000000E+000
+1.31634897837E+004, -1.95153019595E+001, +0.00000000000E+000
+1.32483831678E+004, -1.95156506154E+001, +0.00000000000E+000
+1.33332765519E+004, -1.95142407332E+001, +0.00000000000E+000
+1.34181699359E+004, -1.95147581715E+001, +0.00000000000E+000
+1.35030633200E+004, -1.95138798205E+001, +0.00000000000E+000
+1.35879567041E+004, -1.95149900234E+001, +0.00000000000E+000
+1.36728500881E+004, -1.95130720355E+001, +0.00000000000E+000
+1.37577434722E+004, -1.95132879937E+001, +0.00000000000E+000
+1.38426368563E+004, -1.95143032762E+001, +0.00000000000E+000
+1.39275302403E+004, -1.95136434211E+001, +0.00000000000E+000
+1.40124236244E+004, -1.95136923661E+001, +0.00000000000E+000
+1.40973170084E+004, -1.95124063410E+001, +0.00000000000E+000
+1.41822103925E+004, -1.95121792848E+001, +0.00000000000E+000
+1.42671037766E+004, -1.95142572050E+001, +0.00000000000E+000
+1.43519971606E+004, -1.95136142727E+001, +0.00000000000E+000
+1.44368905447E+004, -1.95133619608E+001, +0.00000000000E+000
+1.45217839288E+004, -1.95160361704E+001, +0.00000000000E+000
+1.46066773128E+004, -1.95128670964E+001, +0.00000000000E+000
+1.46915706969E+004, -1.95137098438E+001, +0.00000000000E+000
+1.47764640809E+004, -1.95129779681E+001, +0.00000000000E+000
+1.48613574650E+004, -1.95133647718E+001, +0.00000000000E+000
+1.49462508491E+004, -1.95129480164E+001, +0.00000000000E+000
+1.50311442331E+004, -1.95129866277E+001, +0.00000000000E+000
+1.51160376172E+004, -1.95123480281E+001, +0.00000000000E+000
+1.52009310013E+004, -1.95137931662E+001, +0.00000000000E+000
+1.52858243853E+004, -1.95121879816E+001, +0.00000000000E+000
+1.53707177694E+004, -1.95123450570E+001, +0.00000000000E+000
+1.54556111534E+004, -1.95121028948E+001, +0.00000000000E+000
+1.55405045375E+004, -1.95118032696E+001, +0.00000000000E+000
+1.56253979216E+004, -1.95138323052E+001, +0.00000000000E+000
