"# Channel 1"
"# Trace 4"
Frequency, Formatted Data, Formatted Data
+9.00000000000E+003, -1.10085601063E-002, +0.00000000000E+000
+9.06161890229E+003, -1.05839943677E-002, +0.00000000000E+000
+9.12323780458E+003, -1.13860152024E-002, +0.00000000000E+000
+9.18485670688E+003, -1.08653960920E-002, +0.00000000000E+000
+9.24647560917E+003, -1.15600781916E-002, +0.00000000000E+000
+9.30809451146E+003, -1.09280635407E-002, +0.00000000000E+000
+9.36971341375E+003, -1.00005300986E-002, +0.00000000000E+000
+9.43133231604E+003, -9.71967996943E-003, +0.00000000000E+000
+9.49295121833E+003, -8.97999023502E-003, +0.00000000000E+000
+9.55457012063E+003, -1.03025189743E-002, +0.00000000000E+000
+9.61618902292E+003, -1.07818773781E-002, +0.00000000000E+000
+9.67780792521E+003, -8.55355136071E-003, +0.00000000000E+000
+9.73942682750E+003, -9.01719912022E-003, +0.00000000000E+000
+9.80104572979E+003, -8.23010420323E-003, +0.00000000000E+000
+9.86266463209E+003, -1.03554800322E-002, +0.00000000000E+000
+9.92428353438E+003, -9.05344757298E-003, +0.00000000000E+000
+9.98590243667E+003, -9.00648056714E-003, +0.00000000000E+000
+1.00475213390E+004, -9.71766794994E-003, +0.00000000000E+000
+1.01091402413E+004, -7.82669391726E-003, +0.00000000000E+000
+1.01707591435E+004, -8.01609767000E-003, +0.00000000000E+000
+1.02323780458E+004, -9.47084861930E-003, +0.00000000000E+000
+1.02939969481E+004, -9.67468948621E-003, +0.00000000000E+000
+1.03556158504E+004, -7.42724310409E-003, +0.00000000000E+000
+1.04172347527E+004, -7.93764744286E-003, +0.00000000000E+000
+1.04788536550E+004, -8.33770451813E-003, +0.00000000000E+000
+1.05404725573E+004, -7.60627928001E-003, +0.00000000000E+000
+1.06020914596E+004, -7.68943487338E-003, +0.00000000000E+000
+1.06637103619E+004, -6.16499877528E-003, +0.00000000000E+000
+1.07253292642E+004, -7.56323706323E-003, +0.00000000000E+000
+1.07869481665E+004, -6.18444466375E-003, +0.00000000000E+000
+1.08485670688E+004, -7.65165780219E-003, +0.00000000000E+000
+1.09101859710E+004, -7.27962138119E-003, +0.00000000000E+000
+1.09718048733E+004, -6.54335844499E-003, +0.00000000000E+000
+1.10334237756E+004, -6.75737580540E-003, +0.00000000000E+000
+1.10950426779E+004, -6.78998007834E-003, +0.00000000000E+000
+1.11566615802E+004, -6.15444241376E-003, +0.00000000000E+000
+1.12182804825E+004, -6.82559604061E-003, +0.00000000000E+000
+1.12798993848E+004, -6.06615652218E-003, +0.00000000000E+000
+1.13415182871E+004, -7.07517275182E-003, +0.00000000000E+000
+1.14031371894E+004, -5.51361511292E-003, +0.00000000000E+000
+1.14647560917E+004, -5.02641771784E-003, +0.00000000000E+000
+1.15263749940E+004, -6.26417532709E-003, +0.00000000000E+000
+1.15879938963E+004, -5.75846268350E-003, +0.00000000000E+000
+1.16496127986E+004, -4.99277403047E-003, +0.00000000000E+000
+1.17112317008E+004, -5.11322284046E-003, +0.00000000000E+000
+1.17728506031E+004, -3.94110454262E-003, +0.00000000000E+000
+1.18344695054E+004, -3.99263292989E-003, +0.00000000000E+000
+1.18960884077E+004, -3.96091729908E-003, +0.00000000000E+000
+1.19577073100E+004, -4.75236331223E-003, +0.00000000000E+000
+1.20193262123E+004, -5.09915792610E-003, +0.00000000000E+000
+1.20809451146E+004, -3.55367230342E-003, +0.00000000000E+000
+1.21425640169E+004, -4.77742965150E-003, +0.00000000000E+000
+1.22041829192E+004, -3.28201019245E-003, +0.00000000000E+000
+1.22658018215E+004, -3.06270385742E-003, +0.00000000000E+000
+1.23274207238E+004, -2.83520625580E-003, +0.00000000000E+000
+1.23994493272E+004, -3.73631090559E-003, +0.00000000000E+000
+1.24843427112E+004, -3.41274835730E-003, +0.00000000000E+000
+1.25692360953E+004, -2.84450647121E-003, +0.00000000000E+000
+1.26541294794E+004, -2.44254931470E-003, +0.00000000000E+000
+1.27390228634E+004, -2.79105322825E-003, +0.00000000000E+000
+1.28239162475E+004, -2.16192180679E-003, +0.00000000000E+000
+1.29088096316E+004, -1.09802504697E-003, +0.00000000000E+000
+1.29937030156E+004, -3.13960031152E-003, +0.00000000000E+000
+1.30785963997E+004, -1.92706082824E-003, +0.00000000000E+000
+1.31634897837E+004, -6.46010142673E-004, +0.00000000000E+000
+1.32483831678E+004, -1.00998311814E-003, +0.00000000000E+000
+1.33332765519E+004, -5.86579743173E-004, +0.00000000000E+000
+1.34181699359E+004, -1.43301486736E-003, +0.00000000000E+000
+1.35030633200E+004, -5.90972647513E-004, +0.00000000000E+000
+1.35879567041E+004, -2.82020737858E-005, +0.00000000000E+000
+1.36728500881E+004, -1.68327231730E-004, +0.00000000000E+000
+1.37577434722E+004, +5.18838700976E-004, +0.00000000000E+000
+1.38426368563E+004, +1.61659106041E-003, +0.00000000000E+000
+1.39275302403E+004, +1.49497568967E-003, +0.00000000000E+000
+1.40124236244E+004, +1.92462253589E-003, +0.00000000000E+000
+1.40973170084E+004, +1.57457720464E-003, +0.00000000000E+000
+1.41822103925E+004, +6.35444519751E-004, +0.00000000000E+000
+1.42671037766E+004, +1.09009916783E-003, +0.00000000000E+000
+1.43519971606E+004, +1.36261766536E-003, +0.00000000000E+000
+1.44368905447E+004, +1.63168445585E-003, +0.00000000000E+000
+1.45217839288E+004, +1.94764325361E-003, +0.00000000000E+000
+1.46066773128E+004, +3.48121552732E-003, +0.00000000000E+000
+1.46915706969E+004, +3.04142895695E-003, +0.00000000000E+000
+1.47764640809E+004, +2.28492552608E-003, +0.00000000000E+000
+1.48613574650E+004, +3.21215554091E-003, +0.00000000000E+000
+1.49462508491E+004, +4.68373947234E-003, +0.00000000000E+000
+1.50311442331E+004, +4.42724824840E-003, +0.00000000000E+000
+1.51160376172E+004, +2.99335314668E-003, +0.00000000000E+000
+1.52009310013E+004, +3.89797948165E-003, +0.00000000000E+000
+1.52858243853E+004, +3.90946620193E-003, +0.00000000000E+000
+1.53707177694E+004, +4.61866730139E-003, +0.00000000000E+000
+1.54556111534E+004, +5.17903405909E-003, +0.00000000000E+000
+1.55405045375E+004, +5.46364480700E-003, +0.00000000000E+000
+1.56253979216E+004, +5.82594908137E-003, +0.00000000000E+000
+1.57102913056E+004, +5.23989444628E-003, +0.00000000000E+000
+1.57951846897E+004, +4.70504698169E-003, +0.00000000000E+000
+1.58800780738E+004, +5.01445224105E-003, +0.00000000000E+000
+1.59649714578E+004, +6.32231076152E-003, +0.00000000000E+000
+1.60498648419E+004, +4.69410868953E-003, +0.00000000000E+000
+1.61347582259E+004, +7.49263545634E-003, +0.00000000000E+000
+1.62196516100E+004, +6.03092629619E-003, +0.00000000000E+000
+1.63045449941E+004, +6.12577311281E-003, +0.00000000000E+000
+1.63894383781E+004, +7.10255444676E-003, +0.00000000000E+000
+1.64743317622E+004, +6.96681490631E-003, +0.00000000000E+000
+1.65592251463E+004, +7.54506881292E-003, +0.00000000000E+000
+1.66441185303E+004, +8.74366149784E-003, +0.00000000000E+000
+1.67290119144E+004, +7.62903901921E-003, +0.00000000000E+000
+1.68139052984E+004, +8.04866560479E-003, +0.00000000000E+000
+1.68987986825E+004, +7.90513832129E-003, +0.00000000000E+000
+1.69836920666E+004, +8.32643848342E-003, +0.00000000000E+000
+1.70829270686E+004, +8.72972904713E-003, +0.00000000000E+000
+1.72002453412E+004, +8.33995309416E-003, +0.00000000000E+000
+1.73175636138E+004, +9.51293118443E-003, +0.00000000000E+000
+1.74348818864E+004, +9.47892352721E-003, +0.00000000000E+000
+1.75522001589E+004, +9.74812653721E-003, +0.00000000000E+000
+1.76695184315E+004, +9.69128018638E-003, +0.00000000000E+000
+1.77868367041E+004, +1.08441456835E-002, +0.00000000000E+000
+1.79041549767E+004, +1.06625115773E-002, +0.00000000000E+000
+1.80214732493E+004, +1.14424003923E-002, +0.00000000000E+000
+1.81387915219E+004, +1.19495038406E-002, +0.00000000000E+000
+1.82561097945E+004, +1.19819914027E-002, +0.00000000000E+000
+1.83734280670E+004, +1.25148428148E-002, +0.00000000000E+000
+1.84907463396E+004, +1.39228017649E-002, +0.00000000000E+000
+1.86080646122E+004, +1.38959312112E-002, +0.00000000000E+000
+1.87253828848E+004, +1.29777068639E-002, +0.00000000000E+000
+1.88427011574E+004, +1.41691789169E-002, +0.00000000000E+000
+1.89600194300E+004, +1.26618139621E-002, +0.00000000000E+000
+1.90773377026E+004, +1.38621193369E-002, +0.00000000000E+000
+1.91946559751E+004, +1.52618725274E-002, +0.00000000000E+000
+1.93119742477E+004, +1.54447365161E-002, +0.00000000000E+000
+1.94292925203E+004, +1.56261236363E-002, +0.00000000000E+000
+1.95466107929E+004, +1.57403126233E-002, +0.00000000000E+000
+1.96639290655E+004, +1.65058241101E-002, +0.00000000000E+000
+1.97812473381E+004, +1.55043792437E-002, +0.00000000000E+000
+1.98985656106E+004, +1.68389391882E-002, +0.00000000000E+000
+2.00158838832E+004, +1.63525282565E-002, +0.00000000000E+000
+2.01332021558E+004, +1.59446573311E-002, +0.00000000000E+000
+2.02505204284E+004, +1.73652038449E-002, +0.00000000000E+000
+2.03678387010E+004, +1.72325186059E-002, +0.00000000000E+000
+2.04851569736E+004, +1.69794667931E-002, +0.00000000000E+000
+2.06024752462E+004, +1.82067215045E-002, +0.00000000000E+000
+2.07197935187E+004, +1.94011041390E-002, +0.00000000000E+000
+2.08371117913E+004, +1.84412974731E-002, +0.00000000000E+000
+2.09544300639E+004, +1.94823219003E-002, +0.00000000000E+000
+2.10717483365E+004, +2.01724666574E-002, +0.00000000000E+000
+2.11890666091E+004, +1.92681480532E-002, +0.00000000000E+000
+2.13063848817E+004, +2.00729071146E-002, +0.00000000000E+000
+2.14237031543E+004, +1.96397537492E-002, +0.00000000000E+000
+2.15410214268E+004, +1.92422067275E-002, +0.00000000000E+000
+2.16583396994E+004, +2.10370391564E-002, +0.00000000000E+000
+2.17756579720E+004, +2.14613959007E-002, +0.00000000000E+000
+2.18929762446E+004, +1.97464682593E-002, +0.00000000000E+000
+2.20102945172E+004, +2.07045518435E-002, +0.00000000000E+000
+2.21276127898E+004, +2.17064405472E-002, +0.00000000000E+000
+2.22449310624E+004, +2.25387922882E-002, +0.00000000000E+000
+2.23622493349E+004, +2.30607771031E-002, +0.00000000000E+000
+2.24795676075E+004, +2.22790764041E-002, +0.00000000000E+000
+2.25968858801E+004, +2.13278081355E-002, +0.00000000000E+000
+2.27142041527E+004, +2.19123342085E-002, +0.00000000000E+000
+2.28315224253E+004, +2.23250904644E-002, +0.00000000000E+000
+2.29488406979E+004, +2.19360674598E-002, +0.00000000000E+000
+2.30661589705E+004, +2.32336252520E-002, +0.00000000000E+000
+2.31834772430E+004, +2.28003761930E-002, +0.00000000000E+000
+2.33007955156E+004, +2.42370096003E-002, +0.00000000000E+000
+2.34181137882E+004, +2.42665341003E-002, +0.00000000000E+000
+2.35354320608E+004, +2.42031915921E-002, +0.00000000000E+000
+2.36729486054E+004, +2.40667449578E-002, +0.00000000000E+000
+2.38350265062E+004, +2.63864948545E-002, +0.00000000000E+000
+2.39971044070E+004, +2.25013615019E-002, +0.00000000000E+000
+2.41591823078E+004, +2.54672649146E-002, +0.00000000000E+000
+2.43212602086E+004, +2.58723469207E-002, +0.00000000000E+000
+2.44833381094E+004, +2.61009617768E-002, +0.00000000000E+000
+2.46454160102E+004, +2.61287712639E-002, +0.00000000000E+000
+2.48074939109E+004, +2.74722982316E-002, +0.00000000000E+000
+2.49695718117E+004, +2.74674293040E-002, +0.00000000000E+000
+2.51316497125E+004, +2.82558213187E-002, +0.00000000000E+000
+2.52937276133E+004, +2.77497128438E-002, +0.00000000000E+000
+2.54558055141E+004, +2.68303511808E-002, +0.00000000000E+000
+2.56178834149E+004, +2.79456252149E-002, +0.00000000000E+000
+2.57799613157E+004, +3.01461068085E-002, +0.00000000000E+000
+2.59420392164E+004, +2.83541165872E-002, +0.00000000000E+000
+2.61041171172E+004, +2.89365399014E-002, +0.00000000000E+000
+2.62661950180E+004, +2.80390218199E-002, +0.00000000000E+000
+2.64282729188E+004, +3.02595924629E-002, +0.00000000000E+000
+2.65903508196E+004, +2.88849010401E-002, +0.00000000000E+000
+2.67524287204E+004, +3.15834016782E-002, +0.00000000000E+000
+2.69145066212E+004, +3.08249103996E-002, +0.00000000000E+000
+2.70765845220E+004, +3.18806899436E-002, +0.00000000000E+000
+2.72386624227E+004, +3.14474617742E-002, +0.00000000000E+000
+2.74007403235E+004, +3.12855600747E-002, +0.00000000000E+000
+2.75628182243E+004, +3.28169304337E-002, +0.00000000000E+000
+2.77248961251E+004, +3.31669924701E-002, +0.00000000000E+000
+2.78869740259E+004, +3.27167319843E-002, +0.00000000000E+000
+2.80490519267E+004, +3.43075955573E-002, +0.00000000000E+000
+2.82111298275E+004, +3.29730654562E-002, +0.00000000000E+000
+2.83732077282E+004, +3.43616860146E-002, +0.00000000000E+000
+2.85352856290E+004, +3.41078450836E-002, +0.00000000000E+000
+2.86973635298E+004, +3.53075705337E-002, +0.00000000000E+000
