"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+9.00000000000E+003, +5.62118885237E+000, +0.00000000000E+000
+9.06161890229E+003, +5.66338987118E+000, +0.00000000000E+000
+9.12323780458E+003, +5.70196433699E+000, +0.00000000000E+000
+9.18485670688E+003, +5.73740477850E+000, +0.00000000000E+000
+9.24647560917E+003, +5.77075327385E+000, +0.00000000000E+000
+9.30809451146E+003, +5.80590027231E+000, +0.00000000000E+000
+9.36971341375E+003, +5.83499734183E+000, +0.00000000000E+000
+9.43133231604E+003, +5.86432753859E+000, +0.00000000000E+000
+9.49295121833E+003, +5.89196740667E+000, +0.00000000000E+000
+9.55457012063E+003, +5.91638014129E+000, +0.00000000000E+000
+9.61618902292E+003, +5.93919470373E+000, +0.00000000000E+000
+9.67780792521E+003, +5.96413372330E+000, +0.00000000000E+000
+9.73942682750E+003, +5.98586514680E+000, +0.00000000000E+000
+9.80104572979E+003, +6.00792095885E+000, +0.00000000000E+000
+9.86266463209E+003, +6.02788083411E+000, +0.00000000000E+000
+9.92428353438E+003, +6.04691571588E+000, +0.00000000000E+000
+9.98590243667E+003, +6.06707310612E+000, +0.00000000000E+000
+1.00475213390E+004, +6.08282392412E+000, +0.00000000000E+000
+1.01091402413E+004, +6.09860921644E+000, +0.00000000000E+000
+1.01707591435E+004, +6.11431646888E+000, +0.00000000000E+000
+1.02323780458E+004, +6.12975659955E+000, +0.00000000000E+000
+1.02939969481E+004, +6.14195838837E+000, +0.00000000000E+000
+1.03556158504E+004, +6.15669871841E+000, +0.00000000000E+000
+1.04172347527E+004, +6.17007071253E+000, +0.00000000000E+000
+1.04788536550E+004, +6.17860924545E+000, +0.00000000000E+000
+1.05404725573E+004, +6.19166663374E+000, +0.00000000000E+000
+1.06020914596E+004, +6.20347858976E+000, +0.00000000000E+000
+1.06637103619E+004, +6.21419844748E+000, +0.00000000000E+000
+1.07253292642E+004, +6.22641489704E+000, +0.00000000000E+000
+1.07869481665E+004, +6.23848950663E+000, +0.00000000000E+000
+1.08485670688E+004, +6.24953569933E+000, +0.00000000000E+000
+1.09101859710E+004, +6.26096924036E+000, +0.00000000000E+000
+1.09718048733E+004, +6.26900478181E+000, +0.00000000000E+000
+1.10334237756E+004, +6.27817968811E+000, +0.00000000000E+000
+1.10950426779E+004, +6.28785799319E+000, +0.00000000000E+000
+1.11566615802E+004, +6.29645222506E+000, +0.00000000000E+000
+1.12182804825E+004, +6.30673836527E+000, +0.00000000000E+000
+1.12798993848E+004, +6.31176217924E+000, +0.00000000000E+000
+1.13415182871E+004, +6.32004329668E+000, +0.00000000000E+000
+1.14031371894E+004, +6.33695433442E+000, +0.00000000000E+000
+1.14647560917E+004, +6.33774389496E+000, +0.00000000000E+000
+1.15263749940E+004, +6.34615021713E+000, +0.00000000000E+000
+1.15879938963E+004, +6.35320019779E+000, +0.00000000000E+000
+1.16496127986E+004, +6.36197726831E+000, +0.00000000000E+000
+1.17112317008E+004, +6.37024773231E+000, +0.00000000000E+000
+1.17728506031E+004, +6.37829635368E+000, +0.00000000000E+000
+1.18344695054E+004, +6.38514788185E+000, +0.00000000000E+000
+1.18960884077E+004, +6.39315052617E+000, +0.00000000000E+000
+1.19577073100E+004, +6.40205456947E+000, +0.00000000000E+000
+1.20193262123E+004, +6.41028660720E+000, +0.00000000000E+000
+1.20809451146E+004, +6.41696742138E+000, +0.00000000000E+000
+1.21425640169E+004, +6.42502687924E+000, +0.00000000000E+000
+1.22041829192E+004, +6.43312874888E+000, +0.00000000000E+000
+1.22658018215E+004, +6.44208075221E+000, +0.00000000000E+000
+1.23274207238E+004, +6.44946275588E+000, +0.00000000000E+000
+1.23994493272E+004, +6.46398633875E+000, +0.00000000000E+000
+1.24843427112E+004, +6.46984138405E+000, +0.00000000000E+000
+1.25692360953E+004, +6.48324140804E+000, +0.00000000000E+000
+1.26541294794E+004, +6.49243665406E+000, +0.00000000000E+000
+1.27390228634E+004, +6.50391702210E+000, +0.00000000000E+000
+1.28239162475E+004, +6.51408549219E+000, +0.00000000000E+000
+1.29088096316E+004, +6.52471645669E+000, +0.00000000000E+000
+1.29937030156E+004, +6.53624367263E+000, +0.00000000000E+000
+1.30785963997E+004, +6.54728925805E+000, +0.00000000000E+000
+1.31634897837E+004, +6.55847569144E+000, +0.00000000000E+000
+1.32483831678E+004, +6.56971250659E+000, +0.00000000000E+000
+1.33332765519E+004, +6.58029913995E+000, +0.00000000000E+000
+1.34181699359E+004, +6.59299898706E+000, +0.00000000000E+000
+1.35030633200E+004, +6.60476460880E+000, +0.00000000000E+000
+1.35879567041E+004, +6.61691702789E+000, +0.00000000000E+000
+1.36728500881E+004, +6.62961985721E+000, +0.00000000000E+000
+1.37577434722E+004, +6.64102872072E+000, +0.00000000000E+000
+1.38426368563E+004, +6.65274010713E+000, +0.00000000000E+000
+1.39275302403E+004, +6.66576171591E+000, +0.00000000000E+000
+1.40124236244E+004, +6.67736414350E+000, +0.00000000000E+000
+1.40973170084E+004, +6.69041734401E+000, +0.00000000000E+000
+1.41822103925E+004, +6.70278924691E+000, +0.00000000000E+000
+1.42671037766E+004, +6.71517640899E+000, +0.00000000000E+000
+1.43519971606E+004, +6.72909035713E+000, +0.00000000000E+000
+1.44368905447E+004, +6.74153985339E+000, +0.00000000000E+000
+1.45217839288E+004, +6.75649946390E+000, +0.00000000000E+000
+1.46066773128E+004, +6.76868225575E+000, +0.00000000000E+000
+1.46915706969E+004, +6.78215393266E+000, +0.00000000000E+000
+1.47764640809E+004, +6.79582163707E+000, +0.00000000000E+000
+1.48613574650E+004, +6.80863091431E+000, +0.00000000000E+000
+1.49462508491E+004, +6.82292285181E+000, +0.00000000000E+000
+1.50311442331E+004, +6.83678443389E+000, +0.00000000000E+000
+1.51160376172E+004, +6.85115313613E+000, +0.00000000000E+000
+1.52009310013E+004, +6.86491415533E+000, +0.00000000000E+000
+1.52858243853E+004, +6.87853484354E+000, +0.00000000000E+000
+1.53707177694E+004, +6.89237155829E+000, +0.00000000000E+000
+1.54556111534E+004, +6.90721990432E+000, +0.00000000000E+000
+1.55405045375E+004, +6.92190405610E+000, +0.00000000000E+000
+1.56253979216E+004, +6.93621769895E+000, +0.00000000000E+000
+1.57102913056E+004, +6.95147711026E+000, +0.00000000000E+000
+1.57951846897E+004, +6.96511764474E+000, +0.00000000000E+000
+1.58800780738E+004, +6.97969543171E+000, +0.00000000000E+000
+1.59649714578E+004, +6.99463254697E+000, +0.00000000000E+000
+1.60498648419E+004, +7.00901345292E+000, +0.00000000000E+000
+1.61347582259E+004, +7.02391283455E+000, +0.00000000000E+000
+1.62196516100E+004, +7.03957245688E+000, +0.00000000000E+000
+1.63045449941E+004, +7.05492205174E+000, +0.00000000000E+000
+1.63894383781E+004, +7.07067380388E+000, +0.00000000000E+000
+1.64743317622E+004, +7.08644363061E+000, +0.00000000000E+000
+1.65592251463E+004, +7.10114749146E+000, +0.00000000000E+000
+1.66441185303E+004, +7.11631860082E+000, +0.00000000000E+000
+1.67290119144E+004, +7.13251700542E+000, +0.00000000000E+000
+1.68139052984E+004, +7.14810669323E+000, +0.00000000000E+000
+1.68987986825E+004, +7.16484412664E+000, +0.00000000000E+000
+1.69836920666E+004, +7.17991655065E+000, +0.00000000000E+000
+1.70829270686E+004, +7.19863852402E+000, +0.00000000000E+000
+1.72002453412E+004, +7.22053022608E+000, +0.00000000000E+000
+1.73175636138E+004, +7.24373270176E+000, +0.00000000000E+000
+1.74348818864E+004, +7.26587117313E+000, +0.00000000000E+000
+1.75522001589E+004, +7.28801829095E+000, +0.00000000000E+000
+1.76695184315E+004, +7.30975804670E+000, +0.00000000000E+000
+1.77868367041E+004, +7.33496566225E+000, +0.00000000000E+000
+1.79041549767E+004, +7.35765246068E+000, +0.00000000000E+000
+1.80214732493E+004, +7.38166439628E+000, +0.00000000000E+000
+1.81387915219E+004, +7.40212849907E+000, +0.00000000000E+000
+1.82561097945E+004, +7.42771308117E+000, +0.00000000000E+000
+1.83734280670E+004, +7.44986591712E+000, +0.00000000000E+000
+1.84907463396E+004, +7.47493935504E+000, +0.00000000000E+000
+1.86080646122E+004, +7.49738465274E+000, +0.00000000000E+000
+1.87253828848E+004, +7.52061559575E+000, +0.00000000000E+000
+1.88427011574E+004, +7.54482067283E+000, +0.00000000000E+000
+1.89600194300E+004, +7.57003599982E+000, +0.00000000000E+000
+1.90773377026E+004, +7.59401609164E+000, +0.00000000000E+000
+1.91946559751E+004, +7.61832931644E+000, +0.00000000000E+000
+1.93119742477E+004, +7.64179225779E+000, +0.00000000000E+000
+1.94292925203E+004, +7.66831715015E+000, +0.00000000000E+000
+1.95466107929E+004, +7.69183612858E+000, +0.00000000000E+000
+1.96639290655E+004, +7.71518778851E+000, +0.00000000000E+000
+1.97812473381E+004, +7.74173447992E+000, +0.00000000000E+000
+1.98985656106E+004, +7.76652452952E+000, +0.00000000000E+000
+2.00158838832E+004, +7.79151351604E+000, +0.00000000000E+000
+2.01332021558E+004, +7.81568518693E+000, +0.00000000000E+000
+2.02505204284E+004, +7.84162556729E+000, +0.00000000000E+000
+2.03678387010E+004, +7.86611280812E+000, +0.00000000000E+000
+2.04851569736E+004, +7.89243092355E+000, +0.00000000000E+000
+2.06024752462E+004, +7.91806254972E+000, +0.00000000000E+000
+2.07197935187E+004, +7.94319007049E+000, +0.00000000000E+000
+2.08371117913E+004, +7.96854654614E+000, +0.00000000000E+000
+2.09544300639E+004, +7.99425127850E+000, +0.00000000000E+000
+2.10717483365E+004, +8.02001256787E+000, +0.00000000000E+000
+2.11890666091E+004, +8.04486613726E+000, +0.00000000000E+000
+2.13063848817E+004, +8.07246359623E+000, +0.00000000000E+000
+2.14237031543E+004, +8.09697445108E+000, +0.00000000000E+000
+2.15410214268E+004, +8.12384161414E+000, +0.00000000000E+000
+2.16583396994E+004, +8.15009938285E+000, +0.00000000000E+000
+2.17756579720E+004, +8.17692309047E+000, +0.00000000000E+000
+2.18929762446E+004, +8.20173491125E+000, +0.00000000000E+000
+2.20102945172E+004, +8.22887034880E+000, +0.00000000000E+000
+2.21276127898E+004, +8.25453850232E+000, +0.00000000000E+000
+2.22449310624E+004, +8.28159734234E+000, +0.00000000000E+000
+2.23622493349E+004, +8.30721906694E+000, +0.00000000000E+000
+2.24795676075E+004, +8.33358322323E+000, +0.00000000000E+000
+2.25968858801E+004, +8.36056488889E+000, +0.00000000000E+000
+2.27142041527E+004, +8.38735584484E+000, +0.00000000000E+000
+2.28315224253E+004, +8.41375484780E+000, +0.00000000000E+000
+2.29488406979E+004, +8.44085073603E+000, +0.00000000000E+000
+2.30661589705E+004, +8.46794543838E+000, +0.00000000000E+000
+2.31834772430E+004, +8.49477299880E+000, +0.00000000000E+000
+2.33007955156E+004, +8.52148667656E+000, +0.00000000000E+000
+2.34181137882E+004, +8.54925782143E+000, +0.00000000000E+000
+2.35354320608E+004, +8.57534584065E+000, +0.00000000000E+000
+2.36729486054E+004, +8.60792563430E+000, +0.00000000000E+000
+2.38350265062E+004, +8.64514352622E+000, +0.00000000000E+000
+2.39971044070E+004, +8.68240092200E+000, +0.00000000000E+000
+2.41591823078E+004, +8.72038653749E+000, +0.00000000000E+000
+2.43212602086E+004, +8.75912901659E+000, +0.00000000000E+000
+2.44833381094E+004, +8.79540966881E+000, +0.00000000000E+000
+2.46454160102E+004, +8.83442346817E+000, +0.00000000000E+000
+2.48074939109E+004, +8.87217974678E+000, +0.00000000000E+000
+2.49695718117E+004, +8.91008857095E+000, +0.00000000000E+000
+2.51316497125E+004, +8.94828842948E+000, +0.00000000000E+000
+2.52937276133E+004, +8.98756912216E+000, +0.00000000000E+000
+2.54558055141E+004, +9.02604728936E+000, +0.00000000000E+000
+2.56178834149E+004, +9.06295559116E+000, +0.00000000000E+000
+2.57799613157E+004, +9.10200230982E+000, +0.00000000000E+000
+2.59420392164E+004, +9.14108553692E+000, +0.00000000000E+000
+2.61041171172E+004, +9.17876748092E+000, +0.00000000000E+000
+2.62661950180E+004, +9.21837368068E+000, +0.00000000000E+000
+2.64282729188E+004, +9.25664199217E+000, +0.00000000000E+000
+2.65903508196E+004, +9.29582319096E+000, +0.00000000000E+000
+2.67524287204E+004, +9.33308432343E+000, +0.00000000000E+000
+2.69145066212E+004, +9.37230120817E+000, +0.00000000000E+000
+2.70765845220E+004, +9.41105251628E+000, +0.00000000000E+000
+2.72386624227E+004, +9.45066960032E+000, +0.00000000000E+000
+2.74007403235E+004, +9.48988739514E+000, +0.00000000000E+000
+2.75628182243E+004, +9.52944514794E+000, +0.00000000000E+000
+2.77248961251E+004, +9.56844547684E+000, +0.00000000000E+000
+2.78869740259E+004, +9.60747443595E+000, +0.00000000000E+000
+2.80490519267E+004, +9.64617711494E+000, +0.00000000000E+000
+2.82111298275E+004, +9.68681167112E+000, +0.00000000000E+000
+2.83732077282E+004, +9.72427457611E+000, +0.00000000000E+000
+2.85352856290E+004, +9.76469815803E+000, +0.00000000000E+000
+2.86973635298E+004, +9.80267901546E+000, +0.00000000000E+000
+2.88594414306E+004, +9.84345958600E+000, +0.00000000000E+000
+2.90215193314E+004, +9.88281824371E+000, +0.00000000000E+000
+2.91835972322E+004, +9.92228562789E+000, +0.00000000000E+000
+2.93456751330E+004, +9.96113498624E+000, +0.00000000000E+000
+2.95077530338E+004, +1.00004510446E+001, +0.00000000000E+000
+2.96698309345E+004, +1.00406594497E+001, +0.00000000000E+000
+2.98319088353E+004, +1.00808180821E+001, +0.00000000000E+000
+2.99939867361E+004, +1.01197728761E+001, +0.00000000000E+000
+3.01560646369E+004, +1.01608385645E+001, +0.00000000000E+000
+3.03181425377E+004, +1.01992716840E+001, +0.00000000000E+000
+3.04802204385E+004, +1.02397732491E+001, +0.00000000000E+000
+3.06422983393E+004, +1.02798858191E+001, +0.00000000000E+000
+3.08043762400E+004, +1.03201667968E+001, +0.00000000000E+000
+3.09664541408E+004, +1.03601200376E+001, +0.00000000000E+000
+3.11285320416E+004, +1.03994863895E+001, +0.00000000000E+000
+3.12906099424E+004, +1.04380586560E+001, +0.00000000000E+000
+3.14526878432E+004, +1.04788297623E+001, +0.00000000000E+000
+3.16147657440E+004, +1.05187025292E+001, +0.00000000000E+000
+3.17768436448E+004, +1.05590207569E+001, +0.00000000000E+000
+3.19389215456E+004, +1.05987484454E+001, +0.00000000000E+000
+3.21009994463E+004, +1.06386544846E+001, +0.00000000000E+000
+3.22630773471E+004, +1.06794793000E+001, +0.00000000000E+000
+3.24251552479E+004, +1.07191067979E+001, +0.00000000000E+000
+3.26146140731E+004, +1.07659403233E+001, +0.00000000000E+000
+3.28379114862E+004, +1.08209088296E+001, +0.00000000000E+000
+3.30612088993E+004, +1.08761038931E+001, +0.00000000000E+000
+3.32845063124E+004, +1.09324812239E+001, +0.00000000000E+000
+3.35078037255E+004, +1.09873131190E+001, +0.00000000000E+000
+3.37311011386E+004, +1.10428613120E+001, +0.00000000000E+000
+3.39543985517E+004, +1.10977790493E+001, +0.00000000000E+000
+3.41776959648E+004, +1.11533680110E+001, +0.00000000000E+000
+3.44009933779E+004, +1.12090758724E+001, +0.00000000000E+000
+3.46242907910E+004, +1.12644723648E+001, +0.00000000000E+000
+3.48475882041E+004, +1.13202154649E+001, +0.00000000000E+000
+3.50708856172E+004, +1.13751097681E+001, +0.00000000000E+000
+3.52941830303E+004, +1.14313356853E+001, +0.00000000000E+000
+3.55174804434E+004, +1.14854226650E+001, +0.00000000000E+000
+3.57407778565E+004, +1.15417547781E+001, +0.00000000000E+000
+3.59640752696E+004, +1.15968716726E+001, +0.00000000000E+000
+3.61873726827E+004, +1.16526357321E+001, +0.00000000000E+000
+3.64106700958E+004, +1.17090261338E+001, +0.00000000000E+000
+3.66339675088E+004, +1.17640489027E+001, +0.00000000000E+000
+3.68572649219E+004, +1.18191029969E+001, +0.00000000000E+000
+3.70805623350E+004, +1.18748282080E+001, +0.00000000000E+000
+3.73038597481E+004, +1.19312576215E+001, +0.00000000000E+000
+3.75271571612E+004, +1.19872202031E+001, +0.00000000000E+000
+3.77504545743E+004, +1.20415735499E+001, +0.00000000000E+000
+3.79737519874E+004, +1.20973855875E+001, +0.00000000000E+000
+3.81970494005E+004, +1.21534054026E+001, +0.00000000000E+000
+3.84203468136E+004, +1.22078046866E+001, +0.00000000000E+000
+3.86436442267E+004, +1.22627241087E+001, +0.00000000000E+000
+3.88669416398E+004, +1.23206778413E+001, +0.00000000000E+000
+3.90902390529E+004, +1.23754520996E+001, +0.00000000000E+000
+3.93135364660E+004, +1.24317968392E+001, +0.00000000000E+000
+3.95368338791E+004, +1.24867882764E+001, +0.00000000000E+000
+3.97601312922E+004, +1.25411481105E+001, +0.00000000000E+000
+3.99834287053E+004, +1.25971321608E+001, +0.00000000000E+000
+4.02067261184E+004, +1.26523151852E+001, +0.00000000000E+000
+4.04300235315E+004, +1.27080744405E+001, +0.00000000000E+000
+4.06533209446E+004, +1.27635766221E+001, +0.00000000000E+000
+4.08766183577E+004, +1.28192969074E+001, +0.00000000000E+000
+4.10999157708E+004, +1.28756172965E+001, +0.00000000000E+000
+4.13232131839E+004, +1.29291703556E+001, +0.00000000000E+000
+4.15465105969E+004, +1.29842994609E+001, +0.00000000000E+000
+4.17698080100E+004, +1.30414795679E+001, +0.00000000000E+000
+4.19931054231E+004, +1.30958528204E+001, +0.00000000000E+000
+4.22164028362E+004, +1.31522488386E+001, +0.00000000000E+000
+4.24397002493E+004, +1.32066973520E+001, +0.00000000000E+000
+4.26629976624E+004, +1.32627245850E+001, +0.00000000000E+000
+4.28862950755E+004, +1.33171141486E+001, +0.00000000000E+000
+4.31095924886E+004, +1.33730806551E+001, +0.00000000000E+000
+4.33328899017E+004, +1.34279809921E+001, +0.00000000000E+000
+4.35561873148E+004, +1.34839227833E+001, +0.00000000000E+000
+4.37794847279E+004, +1.35382208123E+001, +0.00000000000E+000
+4.40027821410E+004, +1.35931065110E+001, +0.00000000000E+000
+4.42260795541E+004, +1.36476446056E+001, +0.00000000000E+000
+4.44493769672E+004, +1.37029413824E+001, +0.00000000000E+000
+4.46726743803E+004, +1.37585842698E+001, +0.00000000000E+000
+4.49336949473E+004, +1.38215738875E+001, +0.00000000000E+000
+4.52413354982E+004, +1.38985442552E+001, +0.00000000000E+000
+4.55489760492E+004, +1.39752354000E+001, +0.00000000000E+000
+4.58566166001E+004, +1.40496938603E+001, +0.00000000000E+000
+4.61642571511E+004, +1.41255973824E+001, +0.00000000000E+000
+4.64718977020E+004, +1.42013998239E+001, +0.00000000000E+000
+4.67795382530E+004, +1.42768558125E+001, +0.00000000000E+000
+4.70871788039E+004, +1.43521809747E+001, +0.00000000000E+000
+4.73948193549E+004, +1.44281405841E+001, +0.00000000000E+000
+4.77024599058E+004, +1.45037159094E+001, +0.00000000000E+000
+4.80101004568E+004, +1.45783749119E+001, +0.00000000000E+000
+4.83177410077E+004, +1.46542122073E+001, +0.00000000000E+000
+4.86253815587E+004, +1.47293531115E+001, +0.00000000000E+000
+4.89330221097E+004, +1.48038556901E+001, +0.00000000000E+000
+4.92406626606E+004, +1.48791111149E+001, +0.00000000000E+000
+4.95483032116E+004, +1.49530757846E+001, +0.00000000000E+000
+4.98559437625E+004, +1.50299820386E+001, +0.00000000000E+000
+5.01635843135E+004, +1.51033963041E+001, +0.00000000000E+000
+5.04712248644E+004, +1.51775355656E+001, +0.00000000000E+000
+5.07788654154E+004, +1.52525691989E+001, +0.00000000000E+000
+5.10865059663E+004, +1.53278561557E+001, +0.00000000000E+000
+5.13941465173E+004, +1.54010563363E+001, +0.00000000000E+000
+5.17017870682E+004, +1.54768495421E+001, +0.00000000000E+000
