"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+9.00000000000E+003, +5.70275310799E+000, +0.00000000000E+000
+9.06161890229E+003, +5.74888512682E+000, +0.00000000000E+000
+9.12323780458E+003, +5.79109179434E+000, +0.00000000000E+000
+9.18485670688E+003, +5.82838267220E+000, +0.00000000000E+000
+9.24647560917E+003, +5.86310319880E+000, +0.00000000000E+000
+9.30809451146E+003, +5.89701667294E+000, +0.00000000000E+000
+9.36971341375E+003, +5.92858827317E+000, +0.00000000000E+000
+9.43133231604E+003, +5.95532453321E+000, +0.00000000000E+000
+9.49295121833E+003, +5.98125265854E+000, +0.00000000000E+000
+9.55457012063E+003, +6.00765593351E+000, +0.00000000000E+000
+9.61618902292E+003, +6.02901978066E+000, +0.00000000000E+000
+9.67780792521E+003, +6.04866806646E+000, +0.00000000000E+000
+9.73942682750E+003, +6.06996845077E+000, +0.00000000000E+000
+9.80104572979E+003, +6.08750294057E+000, +0.00000000000E+000
+9.86266463209E+003, +6.10474561295E+000, +0.00000000000E+000
+9.92428353438E+003, +6.12028407579E+000, +0.00000000000E+000
+9.98590243667E+003, +6.13578721080E+000, +0.00000000000E+000
+1.00475213390E+004, +6.14868608799E+000, +0.00000000000E+000
+1.01091402413E+004, +6.16281800277E+000, +0.00000000000E+000
+1.01707591435E+004, +6.17389525953E+000, +0.00000000000E+000
+1.02323780458E+004, +6.18704861888E+000, +0.00000000000E+000
+1.02939969481E+004, +6.19675841916E+000, +0.00000000000E+000
+1.03556158504E+004, +6.20699355372E+000, +0.00000000000E+000
+1.04172347527E+004, +6.21822815867E+000, +0.00000000000E+000
+1.04788536550E+004, +6.22674090089E+000, +0.00000000000E+000
+1.05404725573E+004, +6.23486583456E+000, +0.00000000000E+000
+1.06020914596E+004, +6.24437837734E+000, +0.00000000000E+000
+1.06637103619E+004, +6.25337368280E+000, +0.00000000000E+000
+1.07253292642E+004, +6.26027290908E+000, +0.00000000000E+000
+1.07869481665E+004, +6.26742918957E+000, +0.00000000000E+000
+1.08485670688E+004, +6.27483278690E+000, +0.00000000000E+000
+1.09101859710E+004, +6.28250968668E+000, +0.00000000000E+000
+1.09718048733E+004, +6.28969065438E+000, +0.00000000000E+000
+1.10334237756E+004, +6.29579174721E+000, +0.00000000000E+000
+1.10950426779E+004, +6.30349589227E+000, +0.00000000000E+000
+1.11566615802E+004, +6.30972080362E+000, +0.00000000000E+000
